Category,Name,Balance,Title,Info,Slug,Price,Status,Premium,PDF
California Credit union,California Credit Union,40000,CHECKING ACOUNT,[USERNAME] + [PASSWORD] + [SSN] + [ROUTINE NUMBER],california-credit-union,280,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,19532,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access),wells-fargo,133,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,17000,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access),wells-fargo-3,119,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells fargo,29000,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access),wells-fargo-4,203,TRUE,FALSE,static/last.pdf
Chase Bank,Chase Bank,"14,800",CHECKING ACCOUNT,"(Online access)+
Account/Routine
Number) + (Name
And Address)+
(Email access)
(Account pin)",chase-bank,98,TRUE,FALSE,static/last.pdf
Chase Bank,Chase Bank,39500,CHECKING ACCOUNTS,"(Online access)+
Account/Routine
Number) + (Name
And Address)+
(Email access)",chase-bank-6,273,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,24500,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),wells-fargo-7,168,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,15492,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),wells-fargo-8,105,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,35678,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),wells-fargo-9,245,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest,23456,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest,161,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest,12456,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-11,84,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,56900,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),wells-fargo-12,392,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest Bank,189321,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-bank,2000,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest Bank,45789,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-bank-14,315,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,50000,CHECKING ACCOUNTS,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),wells-fargo-15,350,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,78654,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),wells-fargo-16,546,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,89000,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),wells-fargo-17,623,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest,150000,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-18,2000,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest,12300,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-19,84,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest,74890,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-20,518,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest,54320,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-21,378,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest,29000,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-22,203,TRUE,FALSE,static/last.pdf
Woodforest Bank,Woodforest,34900,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),woodforest-23,238,TRUE,FALSE,static/last.pdf
Chase Bank,Chase bank,"15,300",CHECKING AND SAVINGS ACCOUNTS,"Online access)+
(Account/Routine Number)
+(Name And Address)+
(Email access)",chase-bank-24,105,TRUE,FALSE,static/last.pdf
Chase Bank,Chase bank,18200,SAVINGS ACCOUNTS,Online access)+(Account/Routine Number)+(Name And Address)+(Email access),chase-bank-25,126,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,45690,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),citi-bank,315,TRUE,FALSE,static/last.pdf
Chase Bank,Chase bank,16500,CHECKING ACCOUNT,Online access)+(Account/Routine Number)+(Name And Address)+(Email access),chase-bank-27,112,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,54322,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),citi-bank-28,378,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,32120,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),citi-bank-29,224,FALSE,FALSE,static/last.pdf
Citi Bank,Citi Bank,144325,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),citi-bank-30,2000,FALSE,FALSE,static/last.pdf
Chase Bank,Chase bank,16000,CHECKING ACCOUNTS,Online access)+(Account/Routine Number)+(Name And Address)+(Email access),chase-bank-31,112,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,67880,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),citi-bank-32,469,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,76543,,,citi-bank-33,532,TRUE,FALSE,static/last.pdf
Citi Bank,Citi bank,12150,SAVINGS AND CHECKING ACCOUNTS,"Online access)+
(Account/Routine Number)
+(Name And Address)+
(Email access)",citi-bank-34,84,TRUE,FALSE,static/last.pdf
Citi Bank,Citi bank,547400,CHECKING ACCOUNTS,Online access)+(Account/Routine Number)+(Name And Address)+(Email access),citi-bank-35,2000,FALSE,FALSE,static/last.pdf
Citi Bank,Citi bank,33725,CHECKING ACCOUNTS,"Online access)
+(Account/Routine Number)
+(Name And Address)+(Email access)",citi-bank-36,231,FALSE,FALSE,static/last.pdf
